msoa_code;msoa_name;house_prices;average_income;population_density
E02000001;City of London 001;595000;59728;26,2
E02000002;Barking and Dagenham 001;190000;31788;31,7
E02000003;Barking and Dagenham 002;237000;43357;47,7
E02000004;Barking and Dagenham 003;210000;46701;25,3
E02000005;Barking and Dagenham 004;180000;34294;72,9
E02000007;Barking and Dagenham 006;168500;29976;52,3
E02000008;Barking and Dagenham 007;175750;31413;81,9
E02000009;Barking and Dagenham 008;176995;32139;92,3
E02000010;Barking and Dagenham 009;174000;31811;79,0
E02000011;Barking and Dagenham 010;203250;39012;39,6
E02000012;Barking and Dagenham 011;265000;50190;77,3
E02000013;Barking and Dagenham 012;176500;31976;64,9
E02000014;Barking and Dagenham 013;172500;31469;79,6
E02000015;Barking and Dagenham 014;140000;28786;56,3
E02000016;Barking and Dagenham 015;145000;31501;92,8
E02000017;Barking and Dagenham 016;208000;40525;99,6
E02000018;Barking and Dagenham 017;175000;31246;66,5
E02000019;Barking and Dagenham 018;172000;34810;28,0
E02000020;Barking and Dagenham 019;195000;32714;28,3
E02000021;Barking and Dagenham 020;170000;33542;28,5
E02000022;Barking and Dagenham 021;135000;25819;119,6
E02000023;Barking and Dagenham 022;190000;28381;37,4
E02006799;Barking and Dagenham 023;180000;32466;88,0
E02000024;Barnet 001;379000;57048;27,8
E02000025;Barnet 002;327500;41882;33,6
E02000026;Barnet 003;397473;50617;44,0
E02000027;Barnet 004;332500;35266;58,2
E02000028;Barnet 005;355000;50631;59,5
E02000029;Barnet 006;275000;40212;51,3
E02000030;Barnet 007;647975;60082;6,3
E02000031;Barnet 008;381250;55167;38,4
E02000032;Barnet 009;458000;53473;56,5
E02000033;Barnet 010;340000;37979;48,8
E02000034;Barnet 011;283500;41756;55,7
E02000035;Barnet 012;390000;45995;62,8
E02000036;Barnet 013;325000;40153;60,6
E02000037;Barnet 014;427500;47245;23,2
E02000038;Barnet 015;415000;43264;61,6
E02000039;Barnet 016;430000;58612;31,6
E02000040;Barnet 017;470000;40961;14,0
E02000041;Barnet 018;362500;39331;67,8
E02000042;Barnet 019;323000;41016;90,1
E02000043;Barnet 020;617500;66208;53,3
E02000044;Barnet 021;250000;33715;73,9
E02000045;Barnet 022;295500;37174;60,3
E02000046;Barnet 023;365500;48274;74,8
E02000047;Barnet 024;241750;29015;80,9
E02000048;Barnet 025;398475;52947;32,3
E02000049;Barnet 026;218000;24842;110,3
E02000050;Barnet 027;300000;38819;48,5
E02000051;Barnet 028;546250;54826;60,9
E02000052;Barnet 029;388025;47800;103,0
E02000053;Barnet 030;253500;33197;60,3
E02000054;Barnet 031;339000;41449;49,0
E02000055;Barnet 032;340000;40399;79,2
E02000056;Barnet 033;992500;82086;28,6
E02000057;Barnet 034;485000;47910;69,2
E02000058;Barnet 035;622500;63229;57,8
E02000059;Barnet 036;249950;31014;48,4
E02000060;Barnet 037;600000;51681;90,9
E02000061;Barnet 038;895500;62825;51,8
E02000062;Barnet 039;305000;30444;35,3
E02000063;Barnet 040;335000;36256;69,0
E02000064;Barnet 041;404975;36552;81,0
E02000065;Bexley 001;162000;33469;24,8
E02000066;Bexley 002;136750;27895;61,5
E02000067;Bexley 003;146950;32432;38,8
E02000068;Bexley 004;161500;32275;33,0
E02000069;Bexley 005;195000;36125;42,9
E02000070;Bexley 006;243250;41498;42,5
E02000071;Bexley 007;218750;36942;62,8
E02000072;Bexley 008;162250;28171;27,3
E02000073;Bexley 009;250000;47654;66,9
E02000074;Bexley 010;161500;30794;68,8
E02000075;Bexley 011;260000;48026;51,6
E02000077;Bexley 013;233000;39277;70,6
E02000078;Bexley 014;225000;45398;52,1
E02000079;Bexley 015;232000;46634;47,5
E02000080;Bexley 016;240000;40735;55,3
E02000081;Bexley 017;240000;39810;34,1
E02000082;Bexley 018;246000;44882;60,0
E02000083;Bexley 019;190000;36051;26,8
E02000084;Bexley 020;271500;51286;40,8
E02000085;Bexley 021;223000;41593;49,2
E02000086;Bexley 022;250000;51001;49,9
E02000087;Bexley 023;285000;59764;20,4
E02000088;Bexley 024;277000;49885;38,8
E02000089;Bexley 025;300000;52582;57,4
E02000090;Bexley 026;195000;46213;49,1
E02000091;Bexley 027;250000;46622;36,0
E02000092;Bexley 028;197000;33727;11,0
E02006785;Bexley 029;230000;36787;47,4
E02000093;Brent 001;340000;41647;79,0
E02000094;Brent 002;345000;38184;75,6
E02000095;Brent 003;380000;41507;63,7
E02000096;Brent 004;472500;63575;45,1
E02000097;Brent 005;300000;37558;48,1
E02000098;Brent 006;425000;46021;43,3
E02000099;Brent 007;268000;43408;67,2
E02000100;Brent 008;408000;60361;40,3
E02000101;Brent 009;251500;34454;67,6
E02000102;Brent 010;250000;29459;57,3
E02000103;Brent 011;305000;33334;49,5
E02000104;Brent 012;312500;40816;61,2
E02000105;Brent 013;250000;37661;68,9
E02000106;Brent 014;250000;30371;77,6
E02000107;Brent 015;348750;38314;115,6
E02000108;Brent 016;265000;35668;80,9
E02000109;Brent 017;253500;35108;51,9
E02000110;Brent 018;550000;45444;104,2
E02000111;Brent 019;240000;33767;89,3
E02000112;Brent 020;282500;32604;75,0
E02000113;Brent 021;218500;25015;66,2
E02000114;Brent 022;360000;35578;150,2
E02000115;Brent 023;440000;47505;98,9
E02000116;Brent 024;280000;28724;78,0
E02000117;Brent 025;250000;26207;136,7
E02000118;Brent 026;225998;30986;78,7
E02000119;Brent 027;249999;26824;29,5
E02000120;Brent 028;421500;45668;184,8
E02000121;Brent 029;227500;32818;67,1
E02000122;Brent 030;716000;58838;66,6
E02000123;Brent 031;305000;28685;144,2
E02000124;Brent 032;500000;52930;93,1
E02000125;Brent 033;474450;46389;141,4
E02000126;Brent 034;350000;27488;168,8
E02000127;Bromley 001;206000;33664;38,9
E02000128;Bromley 002;315000;48167;28,7
E02000130;Bromley 004;316992;44359;54,3
E02000131;Bromley 005;240000;38718;52,2
E02000132;Bromley 006;250000;46812;51,3
E02000133;Bromley 007;405000;78281;16,3
E02000134;Bromley 008;247500;46642;56,6
E02000135;Bromley 009;178000;29324;86,1
E02000136;Bromley 010;400000;45204;12,5
E02000137;Bromley 011;285000;58657;43,2
E02000138;Bromley 012;302000;63702;38,9
E02000139;Bromley 013;305000;50225;48,4
E02000140;Bromley 014;205000;30474;42,9
E02000141;Bromley 015;250000;42638;75,6
E02000142;Bromley 016;306000;59037;47,0
E02000144;Bromley 018;284498;58035;44,8
E02000145;Bromley 019;175000;31433;7,4
E02000146;Bromley 020;275000;48968;47,8
E02000147;Bromley 021;480000;72022;35,7
E02000148;Bromley 022;410000;64983;23,6
E02000149;Bromley 023;225000;38154;41,5
E02000150;Bromley 024;369000;56276;27,7
E02000151;Bromley 025;439950;68374;36,1
E02000152;Bromley 026;290000;38333;26,6
E02000153;Bromley 027;375000;61793;34,6
E02000154;Bromley 028;277000;53021;38,7
E02000155;Bromley 029;247250;42054;38,2
E02000156;Bromley 030;397500;60365;31,6
E02000157;Bromley 031;340000;62278;32,8
E02000158;Bromley 032;295000;43334;34,5
E02000159;Bromley 033;450000;65043;11,8
E02000160;Bromley 034;364000;57967;9,4
E02000161;Bromley 035;294975;58393;49,3
E02000162;Bromley 036;317500;45905;5,3
E02000163;Bromley 037;365000;58849;6,8
E02000165;Bromley 039;250000;46440;12,6
E02006782;Bromley 040;285000;41882;29,6
E02006787;Bromley 041;388000;52769;51,2
E02006789;Bromley 042;330000;50285;2,9
E02000166;Camden 001;597500;56416;26,6
E02000167;Camden 002;1087750;94987;37,0
E02000168;Camden 003;500000;57140;123,2
E02000169;Camden 004;1062500;96417;66,3
E02000170;Camden 005;710000;65878;108,6
E02000171;Camden 006;635000;61274;156,7
E02000172;Camden 007;528765;33423;158,2
E02000173;Camden 008;885000;79403;100,7
E02000174;Camden 009;480000;42286;160,4
E02000175;Camden 010;545750;57233;127,1
E02000176;Camden 011;840000;82128;166,5
E02000177;Camden 012;433000;37963;176,8
E02000178;Camden 013;436975;39778;165,0
E02000179;Camden 014;715000;55178;170,9
E02000180;Camden 015;445000;42877;161,7
E02000181;Camden 016;627500;71414;144,4
E02000182;Camden 017;625000;62298;88,7
E02000183;Camden 018;740270;64374;102,5
E02000184;Camden 019;410000;34491;131,8
E02000185;Camden 020;403500;34955;181,5
E02000186;Camden 021;674725;46772;67,7
E02000187;Camden 022;407500;28942;88,2
E02000188;Camden 023;361000;30767;167,0
E02000189;Camden 024;415000;33914;203,5
E02000190;Camden 025;302813;36800;209,8
E02000191;Camden 026;600000;45271;128,3
E02000192;Camden 027;592500;40721;170,6
E02000193;Camden 028;475000;46474;72,9
E02000194;Croydon 001;250000;39677;64,0
E02000195;Croydon 002;302500;46098;48,1
E02000196;Croydon 003;310000;36456;61,3
E02000197;Croydon 004;297000;35716;93,5
E02000198;Croydon 005;212500;32035;91,6
E02000199;Croydon 006;230000;35611;98,7
E02000200;Croydon 007;190000;34446;67,4
E02000201;Croydon 008;200000;30070;99,7
E02000202;Croydon 009;235250;34373;116,3
E02000203;Croydon 010;187750;31799;98,0
E02000204;Croydon 011;240000;34222;86,7
E02000206;Croydon 013;187500;30425;66,9
E02000207;Croydon 014;224000;32714;74,5
E02000208;Croydon 015;182000;28798;115,2
E02000209;Croydon 016;205000;32112;83,8
E02000210;Croydon 017;228000;38842;108,1
E02000211;Croydon 018;280000;50494;48,5
E02000212;Croydon 019;200000;29601;69,2
E02000213;Croydon 020;181250;28886;93,3
E02000214;Croydon 021;303125;50959;61,5
E02000215;Croydon 022;215000;37245;105,7
E02000216;Croydon 023;229000;60589;29,8
E02000217;Croydon 024;205000;34138;71,2
E02000218;Croydon 025;327500;37565;59,9
E02000219;Croydon 026;335000;59192;13,5
E02000220;Croydon 027;190000;37356;67,5
E02000221;Croydon 028;236000;34236;36,0
E02000222;Croydon 029;233000;50584;43,5
E02000223;Croydon 030;168250;24037;87,8
E02000224;Croydon 031;227500;45448;60,7
E02000225;Croydon 032;205000;28558;47,3
E02000226;Croydon 033;355000;59831;23,3
E02000227;Croydon 034;215000;41005;25,2
E02000228;Croydon 035;408759;70430;24,5
E02000229;Croydon 036;196000;25519;49,5
E02000230;Croydon 037;310000;57967;38,9
E02000231;Croydon 038;497500;72879;23,0
E02000232;Croydon 039;317500;50861;14,3
E02000233;Croydon 040;268500;51610;39,3
E02000234;Croydon 041;304000;51188;26,4
E02000235;Croydon 042;316000;59565;13,3
E02000236;Croydon 043;333462;56055;21,7
E02000237;Croydon 044;320975;50443;15,3
E02006788;Croydon 045;230000;33382;54,9
E02000238;Ealing 001;275000;37495;64,0
E02000239;Ealing 002;320000;43315;38,5
E02000240;Ealing 003;240000;32526;60,3
E02000241;Ealing 004;270000;39087;52,0
E02000242;Ealing 005;310000;38043;78,0
E02000243;Ealing 006;270000;37441;30,2
E02000244;Ealing 007;296000;41253;40,8
E02000245;Ealing 008;207225;28518;50,1
E02000246;Ealing 009;240000;31355;42,7
E02000247;Ealing 010;205000;33400;74,2
E02000248;Ealing 011;322750;49092;42,9
E02000249;Ealing 012;272500;35930;61,2
E02000250;Ealing 013;574500;79219;64,9
E02000251;Ealing 014;270000;36599;83,7
E02000252;Ealing 015;247000;34105;30,8
E02000253;Ealing 016;303000;33463;83,7
E02000254;Ealing 017;257000;33335;85,8
E02000255;Ealing 018;452500;51933;61,1
E02000256;Ealing 019;376500;64951;81,6
E02000257;Ealing 020;457871;66306;61,9
E02000258;Ealing 021;425000;45223;66,3
E02000259;Ealing 022;389950;53957;49,5
E02000260;Ealing 023;180000;31728;81,2
E02000261;Ealing 024;375000;37855;83,9
E02000262;Ealing 025;343000;39408;128,3
E02000263;Ealing 026;250000;28605;95,9
E02000264;Ealing 027;480000;58936;56,3
E02000265;Ealing 028;340000;42837;107,8
E02000266;Ealing 029;240000;28452;31,7
E02000267;Ealing 030;342500;48042;93,3
E02000268;Ealing 031;495000;60724;69,6
E02000269;Ealing 032;440000;70181;91,2
E02000270;Ealing 033;350000;31174;100,5
E02000271;Ealing 034;825000;79903;89,2
E02000272;Ealing 035;575000;65151;55,5
E02000274;Ealing 037;200000;27246;90,1
E02000275;Ealing 038;260000;32071;62,2
E02000276;Ealing 039;550000;63450;79,7
E02006791;Ealing 040;477500;62218;96,2
E02000277;Enfield 001;225000;32400;68,6
E02000278;Enfield 002;231000;27395;69,0
E02000279;Enfield 003;173000;30690;44,8
E02000280;Enfield 004;305000;44271;5,4
E02000281;Enfield 005;244250;33855;46,3
E02000282;Enfield 006;185000;25056;72,4
E02000283;Enfield 007;245000;30860;74,0
E02000284;Enfield 008;285500;49547;64,5
E02000285;Enfield 009;320000;54412;66,7
E02000286;Enfield 010;249997;57403;39,9
E02000287;Enfield 011;435000;66820;7,6
E02000288;Enfield 012;210000;29015;50,5
E02000289;Enfield 013;430000;60928;19,4
E02000290;Enfield 014;195000;25100;15,1
E02000291;Enfield 015;233000;37881;79,7
E02000292;Enfield 016;259750;39782;51,4
E02000293;Enfield 017;470000;67083;29,4
E02000294;Enfield 018;240000;30113;59,5
E02000295;Enfield 019;273500;52917;52,7
E02000296;Enfield 020;275000;42971;54,2
E02000297;Enfield 021;370000;56124;56,9
E02000298;Enfield 022;507500;69080;40,3
E02000299;Enfield 023;215000;28132;107,7
E02000300;Enfield 024;230000;30446;106,9
E02000301;Enfield 025;189000;25665;56,6
E02000302;Enfield 026;350000;42790;52,8
E02000303;Enfield 027;240000;26515;69,3
E02000304;Enfield 028;584500;69078;46,9
E02000305;Enfield 029;315995;52764;91,5
E02000306;Enfield 030;175000;22982;45,3
E02000307;Enfield 031;260000;32782;90,7
E02000308;Enfield 032;332000;39839;68,4
E02000309;Enfield 033;213000;26897;66,3
E02000311;Enfield 035;268000;33886;71,8
E02000312;Enfield 036;280000;43662;83,6
E02006793;Enfield 037;212500;24770;93,0
E02000313;Greenwich 001;159000;31525;92,5
E02000314;Greenwich 002;158000;38367;43,4
E02000315;Greenwich 003;175000;30773;77,0
E02000316;Greenwich 004;294500;37777;59,1
E02000317;Greenwich 005;192500;30018;130,9
E02000318;Greenwich 006;201000;32694;92,3
E02000319;Greenwich 007;188000;35079;121,3
E02000320;Greenwich 008;209995;36267;46,6
E02000321;Greenwich 009;193000;30097;117,8
E02000323;Greenwich 011;176500;30203;143,8
E02000324;Greenwich 012;250000;34887;57,0
E02000326;Greenwich 014;385000;51830;99,4
E02000327;Greenwich 015;190250;32900;38,1
E02000328;Greenwich 016;340000;65812;76,7
E02000329;Greenwich 017;212500;39287;35,5
E02000331;Greenwich 019;235000;38317;80,8
E02000332;Greenwich 020;250000;53138;36,4
E02000333;Greenwich 021;360000;77022;49,8
E02000334;Greenwich 022;250000;42680;47,1
E02000335;Greenwich 023;270000;55413;51,0
E02000337;Greenwich 025;232500;36672;57,2
E02000339;Greenwich 027;382225;62177;48,3
E02000340;Greenwich 028;248750;53712;18,7
E02000341;Greenwich 029;200000;33094;42,8
E02000342;Greenwich 030;249995;38211;47,5
E02000343;Greenwich 031;247500;40429;53,3
E02000344;Greenwich 032;275000;55424;48,8
E02006786;Greenwich 033;203500;35209;57,5
E02006927;Greenwich 034;330000;49540;32,5
E02006928;Greenwich 035;355000;44143;144,4
E02006929;Greenwich 036;345000;45495;31,3
E02006930;Greenwich 037;455000;59977;77,7
E02006931;Greenwich 038;440944;61690;47,3
E02000345;Hackney 001;313000;43760;148,8
E02000346;Hackney 002;297500;26204;104,1
E02000347;Hackney 003;310000;42656;118,0
E02000348;Hackney 004;254000;34139;147,0
E02000350;Hackney 006;347000;49481;171,8
E02000351;Hackney 007;349950;52994;164,9
E02000352;Hackney 008;355000;48329;90,9
E02000353;Hackney 009;625000;60407;140,8
E02000354;Hackney 010;325000;33551;126,2
E02000355;Hackney 011;472500;43215;133,3
E02000356;Hackney 012;475000;61228;183,2
E02000357;Hackney 013;207000;26869;42,3
E02000358;Hackney 014;347000;40075;181,1
E02000359;Hackney 015;545000;38829;153,2
E02000360;Hackney 016;340000;32233;211,3
E02000361;Hackney 017;355000;36373;132,5
E02000362;Hackney 018;270000;33136;49,5
E02000363;Hackney 019;242000;28049;184,5
E02000364;Hackney 020;430000;49573;137,6
E02000365;Hackney 021;413500;48675;138,8
E02000366;Hackney 022;460000;38344;134,8
E02000367;Hackney 023;374655;45683;136,9
E02000368;Hackney 024;322500;31136;151,7
E02000369;Hackney 025;407500;34623;183,3
E02000370;Hackney 026;415000;34297;173,9
E02000371;Hackney 027;432500;42306;130,1
E02006918;Hackney 028;250000;32135;155,0
E02006921;Hackney 029;262500;31933;173,8
E02000372;Hammersmith and Fulham 001;349500;34032;26,1
E02000373;Hammersmith and Fulham 002;232000;23584;160,8
E02000374;Hammersmith and Fulham 003;525000;43106;133,0
E02000375;Hammersmith and Fulham 004;430000;39383;92,0
E02000376;Hammersmith and Fulham 005;398000;43064;167,3
E02000377;Hammersmith and Fulham 006;387975;43239;183,2
E02000378;Hammersmith and Fulham 007;450000;47057;220,1
E02000379;Hammersmith and Fulham 008;491000;52449;111,7
E02000380;Hammersmith and Fulham 009;734975;64214;164,4
E02000381;Hammersmith and Fulham 010;600000;63538;139,4
E02000382;Hammersmith and Fulham 011;499950;51993;98,2
E02000383;Hammersmith and Fulham 012;432500;50075;153,3
E02000384;Hammersmith and Fulham 013;495000;40425;92,5
E02000385;Hammersmith and Fulham 014;465000;61727;151,0
E02000386;Hammersmith and Fulham 015;435000;37955;183,7
E02000387;Hammersmith and Fulham 016;450000;42078;150,2
E02000388;Hammersmith and Fulham 017;553250;54490;151,2
E02000389;Hammersmith and Fulham 018;671000;67701;130,9
E02000390;Hammersmith and Fulham 019;700000;53654;180,7
E02000391;Hammersmith and Fulham 020;937800;73123;114,2
E02000392;Hammersmith and Fulham 021;867000;63343;169,1
E02000393;Hammersmith and Fulham 022;650000;77301;166,8
E02000394;Hammersmith and Fulham 023;740000;54775;117,7
E02000395;Hammersmith and Fulham 024;780000;83818;60,6
E02000396;Hammersmith and Fulham 025;1050000;64081;104,3
E02000397;Haringey 001;288000;33257;143,1
E02000398;Haringey 002;151500;22367;61,3
E02000400;Haringey 004;272500;39937;58,3
E02000401;Haringey 005;250000;25912;91,3
E02000402;Haringey 006;202500;24692;70,9
E02000403;Haringey 007;257500;33670;87,9
E02000404;Haringey 008;262475;28530;117,2
E02000405;Haringey 009;704000;71537;36,7
E02000406;Haringey 010;275000;29462;156,5
E02000407;Haringey 011;242000;25676;144,8
E02000408;Haringey 012;249975;23680;152,8
E02000409;Haringey 013;279950;25597;92,4
E02000410;Haringey 014;387500;67618;89,0
E02000411;Haringey 015;226000;26770;57,9
E02000412;Haringey 016;305000;29258;92,0
E02000413;Haringey 017;499000;67492;61,1
E02000414;Haringey 018;267500;30646;178,5
E02000415;Haringey 019;310000;32398;99,2
E02000416;Haringey 020;298028;36723;120,8
E02000417;Haringey 021;540000;69559;61,9
E02000418;Haringey 022;825000;70662;77,9
E02000419;Haringey 023;380000;35107;130,1
E02000420;Haringey 024;272000;27619;129,2
E02000421;Haringey 025;211750;25977;92,0
E02000422;Haringey 026;290000;29016;146,7
E02000423;Haringey 027;330000;33894;124,6
E02000424;Haringey 028;428000;54881;108,9
E02000425;Haringey 029;343000;34758;134,5
E02000426;Haringey 030;597500;70791;30,0
E02000427;Haringey 031;345000;39196;64,9
E02000428;Haringey 032;272000;27231;121,7
E02000429;Haringey 033;485000;73137;70,5
E02000430;Haringey 034;445250;62370;113,6
E02000431;Haringey 035;535000;71466;109,5
E02000432;Haringey 036;371500;50365;120,9
E02006794;Haringey 037;225000;22882;107,1
E02000433;Harrow 001;415000;52851;12,3
E02000434;Harrow 002;357500;46514;45,0
E02000435;Harrow 003;380000;40032;41,9
E02000436;Harrow 004;465000;66736;12,2
E02000437;Harrow 005;302750;38886;62,2
E02000438;Harrow 006;271000;38532;45,6
E02000439;Harrow 007;330000;33853;78,5
E02000440;Harrow 008;380000;49984;64,2
E02000441;Harrow 009;299950;45094;29,4
E02000442;Harrow 010;307000;34196;77,5
E02000443;Harrow 011;250000;31192;97,5
E02000444;Harrow 012;358000;38538;79,1
E02000445;Harrow 013;249000;32441;83,3
E02000447;Harrow 015;369250;46298;33,0
E02000448;Harrow 016;427500;64973;39,4
E02000449;Harrow 017;320000;31664;91,5
E02000451;Harrow 019;420400;57632;41,3
E02000452;Harrow 020;230500;38155;73,6
E02000453;Harrow 021;248250;40718;74,7
E02000454;Harrow 022;470000;64744;45,2
E02000455;Harrow 023;250000;40966;66,1
E02000456;Harrow 024;341250;41675;76,3
E02000457;Harrow 025;423000;49085;54,6
E02000459;Harrow 027;227000;34071;71,0
E02000460;Harrow 028;248000;32466;77,1
E02000461;Harrow 029;320000;55234;26,9
E02000462;Harrow 030;305000;35547;67,6
E02000463;Harrow 031;273000;33594;91,6
E02006795;Harrow 032;309950;39658;84,4
E02006882;Harrow 033;366000;39681;67,1
E02000464;Havering 001;185500;30040;11,2
E02000465;Havering 002;188500;29703;28,8
E02000466;Havering 003;220000;33845;13,3
E02000467;Havering 004;166000;25548;72,3
E02000468;Havering 005;221250;35518;19,5
E02000469;Havering 006;190000;30229;38,4
E02000470;Havering 007;245000;43401;11,7
E02000471;Havering 008;285000;48746;34,8
E02000472;Havering 009;232000;39248;58,7
E02000473;Havering 010;250000;47201;33,8
E02000474;Havering 011;225000;35156;38,5
E02000475;Havering 012;295000;53509;32,9
E02000476;Havering 013;171500;35287;55,6
E02000477;Havering 014;282000;51635;53,8
E02000478;Havering 015;600000;67682;23,7
E02000479;Havering 016;219500;37629;60,7
E02000480;Havering 017;185000;36107;30,2
E02000481;Havering 018;275000;45570;6,4
E02000482;Havering 019;367500;65107;22,6
E02000483;Havering 020;230000;38917;47,6
E02000484;Havering 021;245000;44570;44,6
E02000485;Havering 022;259998;46045;38,7
E02000486;Havering 023;240000;41688;57,7
E02000487;Havering 024;435000;66267;6,1
E02000488;Havering 025;260000;46363;40,5
E02000489;Havering 026;220000;35566;30,6
E02000490;Havering 027;216000;34525;38,3
E02000491;Havering 028;195000;31326;18,5
E02000492;Havering 029;230000;38060;4,5
E02000493;Havering 030;175000;32367;48,7
E02000494;Hillingdon 001;464667;70794;12,0
E02000495;Hillingdon 002;330500;51311;35,5
E02000496;Hillingdon 003;264000;39972;4,9
E02000497;Hillingdon 004;363750;52081;32,6
E02000498;Hillingdon 005;313750;50722;19,4
E02000499;Hillingdon 006;392500;60752;48,5
E02000500;Hillingdon 007;499500;63912;27,0
E02000501;Hillingdon 008;319000;53072;57,6
E02000502;Hillingdon 009;300000;50711;18,9
E02000503;Hillingdon 010;318000;52004;66,0
E02000504;Hillingdon 011;403950;64490;24,1
