msoa_code;msoa_name;house_prices;average_income;population_density
E02000506;Hillingdon 013;475000;64452;13,9
E02000507;Hillingdon 014;275000;41272;29,8
E02000508;Hillingdon 015;249950;41662;35,8
E02000509;Hillingdon 016;237500;34637;51,9
E02000510;Hillingdon 017;285000;41291;41,3
E02000511;Hillingdon 018;262500;36289;40,4
E02000512;Hillingdon 019;238000;32622;58,0
E02000513;Hillingdon 020;199000;29670;61,1
E02000514;Hillingdon 021;240000;32047;84,3
E02000515;Hillingdon 022;199975;33009;34,3
E02000516;Hillingdon 023;243000;34355;51,7
E02000517;Hillingdon 024;227750;30310;58,4
E02000518;Hillingdon 025;245000;32068;34,7
E02000519;Hillingdon 026;247000;29940;49,6
E02000520;Hillingdon 027;235000;30685;27,1
E02000521;Hillingdon 028;236000;31286;42,7
E02000522;Hillingdon 029;245000;34328;56,7
E02000523;Hillingdon 030;250000;31491;61,4
E02000524;Hillingdon 031;220000;34270;3,4
E02000525;Hillingdon 032;215250;31163;22,6
E02006796;Hillingdon 033;291000;41780;20,5
E02000526;Hounslow 001;800000;78688;90,6
E02000528;Hounslow 003;279063;35760;46,5
E02000529;Hounslow 004;270000;33673;72,0
E02000530;Hounslow 005;229500;26337;25,4
E02000531;Hounslow 006;346000;45202;40,2
E02000532;Hounslow 007;750000;69595;40,1
E02000533;Hounslow 008;571000;67700;78,5
E02000534;Hounslow 009;345000;55864;16,8
E02000535;Hounslow 010;298000;36568;60,2
E02000536;Hounslow 011;307500;38193;58,6
E02000537;Hounslow 012;367500;49578;46,9
E02000538;Hounslow 013;240000;32894;38,3
E02000539;Hounslow 014;299950;41733;66,5
E02000540;Hounslow 015;297500;40362;76,8
E02000541;Hounslow 016;280000;31407;84,3
E02000542;Hounslow 017;230000;33918;96,3
E02000543;Hounslow 018;229950;38205;107,5
E02000544;Hounslow 019;330000;45131;60,5
E02000545;Hounslow 020;340000;36844;63,7
E02000546;Hounslow 021;243475;34995;40,4
E02000547;Hounslow 022;229000;35070;29,7
E02000548;Hounslow 023;220000;32688;26,4
E02000549;Hounslow 024;240000;35572;45,4
E02000550;Hounslow 025;217000;34133;112,5
E02000551;Hounslow 026;200000;29952;41,4
E02000552;Hounslow 027;217000;38106;28,1
E02000553;Hounslow 028;235000;37267;26,3
E02006792;Hounslow 029;490000;62911;58,7
E02000554;Islington 001;320000;41681;146,9
E02000555;Islington 002;375000;48280;158,3
E02000556;Islington 003;360000;47178;154,7
E02000557;Islington 004;394240;45958;116,6
E02000558;Islington 005;304973;33986;187,2
E02000559;Islington 006;500000;69975;157,6
E02000560;Islington 007;375000;47715;144,2
E02000561;Islington 008;549950;71348;128,0
E02000562;Islington 009;540000;54528;124,2
E02000563;Islington 010;305000;40315;148,0
E02000564;Islington 011;407000;49735;133,4
E02000565;Islington 012;373750;44464;161,5
E02000566;Islington 013;550171;75211;119,2
E02000567;Islington 014;437000;54722;159,6
E02000568;Islington 015;383975;37306;111,9
E02000569;Islington 016;482000;52047;145,5
E02000570;Islington 017;657500;80430;149,1
E02000571;Islington 018;475500;46737;163,6
E02000572;Islington 019;346250;36418;188,6
E02000573;Islington 020;665000;76946;124,6
E02000574;Islington 021;610000;54255;144,7
E02000575;Islington 022;625500;54945;132,9
E02000576;Islington 023;585000;43765;129,9
E02000577;Kensington and Chelsea 001;458500;28503;82,9
E02000578;Kensington and Chelsea 002;474000;32857;112,2
E02000579;Kensington and Chelsea 003;625000;48968;138,0
E02000580;Kensington and Chelsea 004;655000;45992;211,7
E02000581;Kensington and Chelsea 005;415000;33776;172,0
E02000582;Kensington and Chelsea 006;980000;75359;148,6
E02000583;Kensington and Chelsea 007;907500;79418;123,7
E02000584;Kensington and Chelsea 008;1500000;99645;87,7
E02000585;Kensington and Chelsea 009;850000;67202;91,1
E02000586;Kensington and Chelsea 010;1500000;104502;142,5
E02000587;Kensington and Chelsea 011;1625000;94419;138,7
E02000588;Kensington and Chelsea 012;2250000;108401;108,7
E02000589;Kensington and Chelsea 013;1100000;67721;219,7
E02000590;Kensington and Chelsea 014;957500;55289;152,2
E02000591;Kensington and Chelsea 015;708000;50199;179,8
E02000592;Kensington and Chelsea 016;1400000;97648;116,9
E02000593;Kensington and Chelsea 017;776000;62231;143,7
E02000594;Kensington and Chelsea 018;1256250;91954;95,9
E02000595;Kensington and Chelsea 019;973500;85825;116,1
E02000596;Kensington and Chelsea 020;1012500;84580;140,9
E02000597;Kensington and Chelsea 021;647500;46547;179,0
E02000598;Kingston upon Thames 001;544975;66626;59,7
E02000599;Kingston upon Thames 002;960000;78092;17,7
E02000600;Kingston upon Thames 003;314500;49259;78,5
E02000601;Kingston upon Thames 004;424000;58631;100,7
E02000602;Kingston upon Thames 005;327500;38714;91,5
E02000603;Kingston upon Thames 006;300000;39414;60,5
E02000604;Kingston upon Thames 007;362500;49673;56,8
E02000605;Kingston upon Thames 008;366500;50378;56,0
E02000606;Kingston upon Thames 009;329950;49503;70,0
E02000607;Kingston upon Thames 010;407425;56160;48,3
E02000608;Kingston upon Thames 011;310000;50655;86,5
E02000609;Kingston upon Thames 012;388500;47153;51,0
E02000610;Kingston upon Thames 013;290000;46204;70,5
E02000611;Kingston upon Thames 014;455000;60608;41,1
E02000612;Kingston upon Thames 015;392000;56148;43,2
E02000613;Kingston upon Thames 016;349950;51836;66,1
E02000614;Kingston upon Thames 017;306250;40877;29,0
E02000615;Kingston upon Thames 018;275000;43522;46,7
E02000616;Kingston upon Thames 019;255000;44409;46,5
E02000617;Kingston upon Thames 020;250000;41564;12,4
E02000619;Lambeth 002;475000;37023;151,9
E02000620;Lambeth 003;415000;43377;134,3
E02000621;Lambeth 004;467000;44918;146,2
E02000622;Lambeth 005;347500;41580;107,4
E02000623;Lambeth 006;293000;34088;177,3
E02000624;Lambeth 007;344000;36772;144,2
E02000625;Lambeth 008;285000;32425;152,9
E02000626;Lambeth 009;292500;29998;152,3
E02000627;Lambeth 010;360000;40275;182,2
E02000628;Lambeth 011;272500;30469;148,9
E02000629;Lambeth 012;430125;56334;145,0
E02000630;Lambeth 013;460000;61879;108,4
E02000631;Lambeth 014;400000;51876;85,9
E02000632;Lambeth 015;435000;58630;180,7
E02000633;Lambeth 016;356000;37611;141,3
E02000634;Lambeth 017;400000;42227;132,7
E02000635;Lambeth 018;341500;45331;75,2
E02000636;Lambeth 019;660000;80544;86,1
E02000637;Lambeth 020;370000;50530;152,9
E02000638;Lambeth 021;305000;38227;148,0
E02000639;Lambeth 022;250000;32191;134,7
E02000640;Lambeth 023;487500;61195;114,5
E02000641;Lambeth 024;275000;31570;146,4
E02000642;Lambeth 025;333000;47995;88,6
E02000643;Lambeth 026;354000;46018;123,3
E02000644;Lambeth 027;293250;47373;97,2
E02000645;Lambeth 028;301000;48708;82,3
E02000646;Lambeth 029;290000;50075;100,4
E02000647;Lambeth 030;275000;48623;87,4
E02000648;Lambeth 031;248325;32605;114,1
E02000649;Lambeth 032;250000;40818;113,0
E02000650;Lambeth 033;287475;38580;97,6
E02000651;Lambeth 034;300000;44937;80,3
E02000652;Lambeth 035;276750;37091;110,9
E02006801;Lambeth 036;490000;51982;73,7
E02000653;Lewisham 001;293500;34040;130,3
E02000654;Lewisham 002;208250;27398;84,9
E02000655;Lewisham 003;196000;33742;87,5
E02000657;Lewisham 005;250000;36912;109,0
E02000658;Lewisham 006;315000;39385;110,7
E02000659;Lewisham 007;298750;52997;75,6
E02000660;Lewisham 008;280000;46847;102,9
E02000661;Lewisham 009;365000;64776;51,2
E02000662;Lewisham 010;247500;37643;108,7
E02000663;Lewisham 011;338000;46371;111,4
E02000664;Lewisham 012;243500;34878;72,8
E02000665;Lewisham 013;310250;49455;102,2
E02000666;Lewisham 014;288000;45471;78,0
E02000667;Lewisham 015;377500;54590;91,4
E02000668;Lewisham 016;345000;54950;66,9
E02000669;Lewisham 017;243000;42710;119,5
E02000670;Lewisham 018;215000;35246;107,0
E02000671;Lewisham 019;320000;49252;85,3
E02000672;Lewisham 020;250000;36184;73,8
E02000673;Lewisham 021;317500;58167;77,5
E02000674;Lewisham 022;272500;43916;100,4
E02000675;Lewisham 023;265000;47035;56,4
E02000676;Lewisham 024;310000;50294;105,3
E02000677;Lewisham 025;289998;46113;69,7
E02000678;Lewisham 026;199250;34142;60,4
E02000679;Lewisham 027;235000;39000;84,7
E02000680;Lewisham 028;240000;38438;92,2
E02000681;Lewisham 029;226150;34266;61,4
E02000682;Lewisham 030;250000;34263;69,6
E02000683;Lewisham 031;199995;33601;67,3
E02000685;Lewisham 033;235000;38402;79,8
E02000686;Lewisham 034;197500;29832;39,1
E02000687;Lewisham 035;295000;41574;103,3
E02006783;Lewisham 037;199250;31543;78,3
E02006784;Lewisham 038;218000;32635;52,3
E02006798;Lewisham 039;195000;30045;93,0
E02000689;Merton 001;650000;71236;41,6
E02000690;Merton 002;1337500;100065;10,4
E02000691;Merton 003;570000;69872;80,6
E02000692;Merton 004;528750;79134;69,0
E02000693;Merton 005;270000;44560;88,8
E02000694;Merton 006;475000;59758;116,8
E02000695;Merton 007;318475;38558;104,0
E02000696;Merton 008;230000;36900;110,3
E02000697;Merton 009;437475;68953;72,4
E02000698;Merton 010;680000;81368;45,2
E02000699;Merton 011;445000;67572;83,6
E02000700;Merton 012;232500;33076;91,6
E02000701;Merton 013;235000;34931;89,1
E02000702;Merton 014;225000;33636;50,3
E02000703;Merton 015;475000;64529;53,4
E02000704;Merton 016;311000;47284;47,6
E02000705;Merton 017;264250;38776;66,0
E02000706;Merton 018;223500;29054;96,7
E02000707;Merton 019;240000;32632;64,6
E02000708;Merton 020;405000;53074;49,9
E02000709;Merton 021;360000;50008;44,5
E02000710;Merton 022;260000;35890;26,4
E02000711;Merton 023;218000;34246;62,6
E02000712;Merton 024;245000;35161;53,8
E02000713;Merton 025;281500;42744;49,4
E02000714;Newham 001;240500;35894;149,0
E02000715;Newham 002;227500;28808;176,7
E02000716;Newham 003;221000;33964;48,2
E02000717;Newham 004;215000;29825;167,9
E02000718;Newham 005;171500;28284;113,4
E02000719;Newham 006;240000;32484;119,4
E02000720;Newham 007;280500;37971;143,0
E02000721;Newham 008;240000;30256;166,4
E02000722;Newham 009;250000;39460;184,9
E02000723;Newham 010;247000;32564;155,9
E02000724;Newham 011;222000;30690;194,8
E02000725;Newham 012;248248;39236;112,6
E02000726;Newham 013;249998;41397;27,2
E02000727;Newham 014;235000;31376;216,0
E02000728;Newham 015;215500;32667;127,6
E02000729;Newham 016;267500;36594;101,8
E02000730;Newham 017;227500;31122;181,1
E02000731;Newham 018;230000;32147;177,3
E02000732;Newham 019;222000;26996;173,6
E02000733;Newham 020;220000;31053;130,4
E02000734;Newham 021;250000;30666;205,4
E02000735;Newham 022;192000;29570;142,5
E02000736;Newham 023;210000;30497;70,0
E02000737;Newham 024;208500;32407;113,8
E02000738;Newham 025;226000;37180;188,3
E02000739;Newham 026;216500;30544;155,3
E02000740;Newham 027;200000;30040;53,3
E02000741;Newham 028;210000;32001;111,0
E02000742;Newham 029;205000;31398;103,5
E02000743;Newham 030;229500;27500;129,3
E02000744;Newham 031;183000;29926;138,4
E02000745;Newham 032;225000;34674;112,9
E02000746;Newham 033;235000;36673;18,2
E02000747;Newham 034;246500;39471;57,4
E02000748;Newham 035;235000;39604;46,9
E02000749;Newham 036;202000;29516;58,3
E02000750;Newham 037;252500;48881;33,3
E02000751;Redbridge 001;457500;71100;34,0
E02000752;Redbridge 002;220000;31053;14,0
E02000753;Redbridge 003;231000;35205;81,0
E02000754;Redbridge 004;327000;46508;53,3
E02000755;Redbridge 005;250000;41594;38,8
E02000756;Redbridge 006;265000;41665;35,7
E02000757;Redbridge 007;320000;60355;79,8
E02000758;Redbridge 008;286000;39484;52,5
E02000759;Redbridge 009;302000;48649;52,6
E02000760;Redbridge 010;250000;37837;67,9
E02000762;Redbridge 012;362500;51698;79,6
E02000763;Redbridge 013;246000;39833;9,0
E02000764;Redbridge 014;305000;60737;60,5
E02000765;Redbridge 015;335000;45399;88,4
E02000767;Redbridge 017;264000;42164;87,7
E02000768;Redbridge 018;490000;66315;33,3
E02000769;Redbridge 019;244000;39116;96,5
E02000770;Redbridge 020;250000;37779;65,6
E02000772;Redbridge 022;274250;37604;59,0
E02000773;Redbridge 023;285000;38544;99,7
E02000774;Redbridge 024;250000;34124;108,2
E02000776;Redbridge 026;257500;38721;108,5
E02000777;Redbridge 027;431250;56356;16,9
E02000779;Redbridge 029;168000;34912;89,9
E02000780;Redbridge 030;220000;31301;119,6
E02000781;Redbridge 031;260500;38556;75,3
E02000782;Redbridge 032;203000;28937;137,7
E02000783;Redbridge 033;224000;28934;130,3
E02006800;Redbridge 034;249998;35478;82,8
E02006924;Redbridge 035;355000;43793;53,4
E02006925;Redbridge 036;347500;53542;53,7
E02000784;Richmond upon Thames 001;1130000;67364;39,0
E02000785;Richmond upon Thames 002;725000;73947;23,8
E02000786;Richmond upon Thames 003;591500;57050;60,3
E02000787;Richmond upon Thames 004;470000;52474;62,6
E02000788;Richmond upon Thames 005;690000;66378;81,7
E02000789;Richmond upon Thames 006;557105;63758;34,2
E02000790;Richmond upon Thames 007;600000;71783;79,3
E02000791;Richmond upon Thames 008;592000;74317;56,9
E02000792;Richmond upon Thames 009;440000;66233;56,5
E02000793;Richmond upon Thames 010;335000;45055;61,4
E02000794;Richmond upon Thames 011;450000;55640;46,0
E02000795;Richmond upon Thames 012;955000;76657;5,5
E02000796;Richmond upon Thames 013;336000;40575;54,2
E02000797;Richmond upon Thames 014;426750;58068;78,4
E02000798;Richmond upon Thames 015;402000;49870;43,9
E02000799;Richmond upon Thames 016;535000;66432;50,9
E02000800;Richmond upon Thames 017;398500;43046;28,7
E02000801;Richmond upon Thames 018;487500;59185;67,4
E02000802;Richmond upon Thames 019;450000;53848;47,4
E02000803;Richmond upon Thames 020;311500;43246;47,9
E02000804;Richmond upon Thames 021;550000;57007;19,1
E02000805;Richmond upon Thames 022;415000;53492;38,0
E02000806;Richmond upon Thames 023;428000;52494;14,6
E02000807;Southwark 001;380000;67388;123,8
E02000808;Southwark 002;585000;55571;88,3
E02000809;Southwark 003;575000;73941;158,9
E02000810;Southwark 004;339000;37364;144,4
E02000812;Southwark 006;370000;39033;148,9
E02000813;Southwark 007;360000;35969;98,5
E02000814;Southwark 008;350000;60860;89,5
E02000815;Southwark 009;310000;42867;152,5
E02000816;Southwark 010;237500;33919;122,3
E02000817;Southwark 011;280000;28757;98,0
E02000818;Southwark 012;316000;32762;128,2
E02000819;Southwark 013;230000;31838;161,3
E02000820;Southwark 014;330000;37390;197,4
E02000821;Southwark 015;202500;30092;116,7
E02000822;Southwark 016;250000;29978;165,6
E02000823;Southwark 017;300000;35645;122,4
E02000824;Southwark 018;220000;29264;100,6
E02000825;Southwark 019;200000;30865;181,6
E02000826;Southwark 020;272000;34806;165,7
E02000827;Southwark 021;205251;32633;153,3
E02000828;Southwark 022;242000;31502;134,9
E02000829;Southwark 023;273750;33319;137,0
E02000830;Southwark 024;399950;53060;107,7
E02000831;Southwark 025;387500;47675;119,1
E02000832;Southwark 026;285000;35362;119,3
E02000833;Southwark 027;245500;39830;94,4
E02000834;Southwark 028;400000;61820;76,4
E02000835;Southwark 029;369000;48021;49,8
E02000836;Southwark 030;535000;69957;109,8
E02000837;Southwark 031;900000;93075;37,9
E02000838;Southwark 032;338500;57502;87,1
E02000839;Southwark 033;285000;58641;29,5
E02006802;Southwark 034;385750;39889;111,5
E02000840;Sutton 001;217250;28961;61,4
E02000841;Sutton 002;209000;29024;77,2
E02000842;Sutton 003;285000;39368;47,3
E02000843;Sutton 004;205000;37629;59,5
E02000844;Sutton 005;223000;34731;78,2
E02000845;Sutton 006;284950;45146;61,8
E02000846;Sutton 007;269950;40533;52,3
E02000847;Sutton 008;300000;47121;57,8
E02000848;Sutton 009;295000;43344;68,4
E02000849;Sutton 010;248975;39689;64,2
E02000850;Sutton 011;265000;41458;21,0
E02000851;Sutton 012;200000;34092;75,9
E02000852;Sutton 013;240000;42929;79,4
E02000853;Sutton 014;249000;39613;61,8
E02000854;Sutton 015;309995;49134;44,2
E02000855;Sutton 016;380000;57025;42,3
E02000856;Sutton 017;240000;44260;67,8
E02000857;Sutton 018;212000;44818;79,5
E02000858;Sutton 019;195000;29390;51,4
E02000859;Sutton 020;283450;44744;48,4
E02000860;Sutton 021;180000;37596;90,4
E02000861;Sutton 022;402250;68087;29,3
E02000863;Sutton 024;374708;53054;9,6
E02006836;Sutton 025;412000;68667;25,1
E02000864;Tower Hamlets 001;310000;37838;67,1
E02000865;Tower Hamlets 002;264995;39617;158,6
E02000866;Tower Hamlets 003;391834;57398;85,1
E02000867;Tower Hamlets 004;300000;49343;126,0
E02000868;Tower Hamlets 005;330000;43003;190,7
E02000869;Tower Hamlets 006;380000;44283;177,6
E02000870;Tower Hamlets 007;273000;40408;164,7
E02000871;Tower Hamlets 008;244500;35601;138,2
E02000872;Tower Hamlets 009;380000;42659;171,2
E02000873;Tower Hamlets 010;325000;38280;175,1
E02000874;Tower Hamlets 011;250000;35129;206,7
E02000875;Tower Hamlets 012;270808;35928;153,4
E02000876;Tower Hamlets 013;290000;38721;134,6
E02000877;Tower Hamlets 014;260000;36018;127,6
E02000878;Tower Hamlets 015;450000;50189;168,6
E02000879;Tower Hamlets 016;307550;37452;175,8
E02000880;Tower Hamlets 017;250000;37773;158,5
E02000881;Tower Hamlets 018;275000;34221;99,8
E02000882;Tower Hamlets 019;320000;37614;151,2
E02000883;Tower Hamlets 020;245000;32691;172,3
E02000884;Tower Hamlets 021;457000;53324;171,6
E02000885;Tower Hamlets 022;247742;33760;204,1
E02000886;Tower Hamlets 023;365000;56036;152,0
E02000887;Tower Hamlets 024;277500;35431;152,7
E02000888;Tower Hamlets 025;390000;52324;159,0
E02000889;Tower Hamlets 026;375000;62410;119,2
E02000890;Tower Hamlets 027;570000;95657;104,4
E02000891;Tower Hamlets 028;360000;66309;88,3
E02000893;Tower Hamlets 030;307250;53216;97,0
E02000894;Tower Hamlets 031;348750;76777;195,3
E02006853;Tower Hamlets 032;329250;61882;155,0
E02006854;Tower Hamlets 033;430000;80653;71,0
E02000895;Waltham Forest 001;280000;41349;36,1
E02000896;Waltham Forest 002;320000;58890;31,1
E02000897;Waltham Forest 003;282498;37987;43,3
E02000898;Waltham Forest 004;290000;43892;50,2
E02000899;Waltham Forest 005;286500;42783;66,2
E02000900;Waltham Forest 006;254000;36255;52,5
E02000901;Waltham Forest 007;301000;55288;55,0
E02000902;Waltham Forest 008;260000;37246;68,0
E02000903;Waltham Forest 009;249000;31174;46,7
E02000904;Waltham Forest 010;286500;42295;57,6
E02000905;Waltham Forest 011;270000;37833;94,2
E02000906;Waltham Forest 012;265000;35415;152,2
E02000907;Waltham Forest 013;257395;30288;114,6
E02000908;Waltham Forest 014;250000;34691;46,8
E02000909;Waltham Forest 015;350000;47119;63,6
E02000910;Waltham Forest 016;300000;37669;138,4
E02000911;Waltham Forest 017;247000;34394;126,2
E02000912;Waltham Forest 018;270000;34468;37,3
E02000913;Waltham Forest 019;295000;40991;84,0
E02000914;Waltham Forest 020;217475;29391;155,8
E02000915;Waltham Forest 021;249745;44759;59,3
E02000916;Waltham Forest 022;215000;32197;42,9
E02000917;Waltham Forest 023;228500;36145;137,4
E02000918;Waltham Forest 024;316250;36937;110,6
E02000919;Waltham Forest 025;275000;36160;167,1
E02000920;Waltham Forest 026;247500;31140;55,4
E02000921;Waltham Forest 027;230000;30743;133,0
E02000922;Waltham Forest 028;244000;33082;164,0
E02000923;Wandsworth 001;647500;68811;72,7
E02000924;Wandsworth 002;465000;41434;57,4
E02000925;Wandsworth 003;515000;40919;180,0
E02000926;Wandsworth 004;485000;58180;144,8
E02000927;Wandsworth 005;570000;49864;155,5
E02000928;Wandsworth 006;680000;85728;88,9
E02000929;Wandsworth 007;257000;32868;179,6
E02000930;Wandsworth 008;525000;66555;123,9
E02000931;Wandsworth 009;640000;90346;111,4
E02000932;Wandsworth 010;482000;82595;81,3
E02000933;Wandsworth 011;495000;75085;80,0
E02000934;Wandsworth 012;480000;63112;119,5
E02000935;Wandsworth 013;208500;30145;49,1
E02000936;Wandsworth 014;413000;63742;94,3
E02000937;Wandsworth 015;625000;86863;64,0
E02000938;Wandsworth 016;445000;43793;55,6
E02000939;Wandsworth 017;945000;99260;110,3
E02000940;Wandsworth 018;306000;45126;112,4
E02000941;Wandsworth 019;480000;70972;94,9
E02000942;Wandsworth 020;555000;79324;91,3
E02000943;Wandsworth 021;498000;73582;118,6
E02000944;Wandsworth 022;328000;40781;120,1
E02000945;Wandsworth 023;220000;33423;35,5
E02000946;Wandsworth 024;455000;51864;78,5
E02000947;Wandsworth 025;499950;71622;99,9
E02000948;Wandsworth 026;436000;65976;73,3
E02000949;Wandsworth 027;550000;80221;68,2
E02000950;Wandsworth 028;340450;52284;85,8
E02000951;Wandsworth 029;399975;55155;131,2
E02000952;Wandsworth 030;475000;59421;106,5
E02000953;Wandsworth 031;457000;56984;105,6
E02000954;Wandsworth 032;447500;49151;139,8
E02000955;Wandsworth 033;363000;39856;117,6
E02000956;Wandsworth 034;282250;37100;89,1
E02000957;Wandsworth 035;345000;43609;145,8
E02000958;Wandsworth 036;360000;48763;95,0
E02000959;Wandsworth 037;267500;40428;145,7
E02000960;Westminster 001;862500;86320;73,0
E02000961;Westminster 002;785000;64395;118,5
E02000962;Westminster 003;660000;59928;125,2
E02000963;Westminster 004;490000;40778;218,4
E02000964;Westminster 005;413603;44844;251,6
E02000965;Westminster 006;621000;65035;176,2
E02000966;Westminster 007;825000;87472;170,9
E02000967;Westminster 008;815500;86424;54,3
E02000968;Westminster 009;390000;33072;240,2
E02000969;Westminster 010;365000;37467;174,7
E02000970;Westminster 011;1262500;104199;85,8
E02000971;Westminster 012;815000;72293;154,0
E02000972;Westminster 013;1095450;67073;66,7
E02000973;Westminster 014;690000;69158;185,8
E02000974;Westminster 015;688750;62390;129,6
E02000975;Westminster 016;695000;76266;184,4
E02000976;Westminster 017;712500;62234;212,8
E02000977;Westminster 018;1140000;85245;32,4
E02000978;Westminster 019;3450000;141363;26,4
E02000979;Westminster 020;799950;80091;60,2
E02000980;Westminster 021;637250;57290;201,5
E02000981;Westminster 022;630000;80753;250,5
E02000982;Westminster 023;920000;54429;131,3
E02000983;Westminster 024;480000;56016;229,2
;;;;
